date,year,month,day,week,year_week
2021-03-26,2021,3,26,12,202112
2021-03-27,2021,3,27,12,202112
2021-03-28,2021,3,28,12,202112
2021-03-29,2021,3,29,13,202113
2021-03-30,2021,3,30,13,202113
2021-03-31,2021,3,31,13,202113
2021-04-01,2021,4,1,13,202113
2021-04-02,2021,4,2,13,202113
2021-04-03,2021,4,3,13,202113
2021-04-04,2021,4,4,13,202113
2021-04-05,2021,4,5,14,202114
2021-04-06,2021,4,6,14,202114
2021-04-07,2021,4,7,14,202114
2021-04-08,2021,4,8,14,202114
2021-04-09,2021,4,9,14,202114
2021-04-10,2021,4,10,14,202114
2021-04-11,2021,4,11,14,202114
2021-04-12,2021,4,12,15,202115
2021-04-13,2021,4,13,15,202115
2021-04-14,2021,4,14,15,202115
2021-04-15,2021,4,15,15,202115
2021-04-16,2021,4,16,15,202115
2021-04-17,2021,4,17,15,202115
2021-04-18,2021,4,18,15,202115
2021-04-19,2021,4,19,16,202116
2021-04-20,2021,4,20,16,202116
2021-04-21,2021,4,21,16,202116
2021-04-22,2021,4,22,16,202116
2021-04-23,2021,4,23,16,202116
2021-04-24,2021,4,24,16,202116
2021-04-25,2021,4,25,16,202116
2021-04-26,2021,4,26,17,202117
2021-04-27,2021,4,27,17,202117
2021-04-28,2021,4,28,17,202117
2021-04-29,2021,4,29,17,202117
2021-04-30,2021,4,30,17,202117
2021-05-01,2021,5,1,17,202117
2021-05-02,2021,5,2,17,202117
2021-05-03,2021,5,3,18,202118
2021-05-04,2021,5,4,18,202118
2021-05-05,2021,5,5,18,202118
2021-05-06,2021,5,6,18,202118
2021-05-07,2021,5,7,18,202118
2021-05-08,2021,5,8,18,202118
2021-05-09,2021,5,9,18,202118
2021-05-10,2021,5,10,19,202119
2021-05-11,2021,5,11,19,202119
2021-05-12,2021,5,12,19,202119
2021-05-13,2021,5,13,19,202119
2021-05-14,2021,5,14,19,202119
2021-05-15,2021,5,15,19,202119
2021-05-16,2021,5,16,19,202119
2021-05-17,2021,5,17,20,202120
2021-05-18,2021,5,18,20,202120
2021-05-19,2021,5,19,20,202120
2021-05-20,2021,5,20,20,202120
2021-05-21,2021,5,21,20,202120
2021-05-22,2021,5,22,20,202120
2021-05-23,2021,5,23,20,202120
2021-05-24,2021,5,24,21,202121
2021-05-25,2021,5,25,21,202121
2021-05-26,2021,5,26,21,202121
